question,true_answer,context,is_subjective,initial_response,initial_pipeline_score,initial_score,initial_correct,refined_response,refined_score,refined_correct
What are the five Great Lakes?,"Superior, Michigan, Huron, Erie, Ontario","The five Great Lakes are Superior, Michigan, Huron, Erie, and Ontario.",False,"superior, michigan, huron, erie, and ontario",0.943474292755127,0.9,True,"superior, michigan, huron, erie, and ontario",0.9,True
What is the chemical symbol for potassium?,K,Potassium’s chemical symbol is K.,False,k,0.9591946601867676,0.9,True,k,0.9,True
What is the capital of Egypt?,Cairo,Cairo is the capital of Egypt.,False,cairo,0.9323034286499023,0.9,True,cairo,0.9,True
Who discovered gravity?,Isaac Newton,Isaac Newton formulated the laws of gravity.,False,isaac newton,0.33637070655822754,0.9,True,isaac newton,0.9,True
What is the smallest country by land area?,Vatican City,"Vatican City is the smallest country, at 0.17 square miles.",False,vatican city,0.14765402674674988,0.9,True,vatican city,0.9,True
What are the three types of rock?,"igneous, sedimentary, metamorphic","Rocks are classified as igneous, sedimentary, or metamorphic.",False,"igneous, sedimentary, or metamorphic",0.8739134669303894,0.9,True,"igneous, sedimentary, or metamorphic",0.9,True
What is the chemical symbol for calcium?,Ca,Calcium’s chemical symbol is Ca.,False,ca,0.9044260382652283,0.9,True,ca,0.9,True
What is the capital of Argentina?,Buenos Aires,Buenos Aires is the capital of Argentina.,False,buenos aires,0.9797323942184448,0.9,True,buenos aires,0.9,True
What day is the day after yesterday?,Today,"The question requires understanding the relative nature of time terms; 'yesterday' is one day before today, so the day after it is today.",False,today,0.7496488690376282,0.9,True,today,0.9,True
Jim's mother has three children; Two of them are named Nicklaus and Dimitrius. What is the third child's name?,Jim,"The phrasing implies Jim is one of the children, as it’s 'Jim's mother,' making Jim the third child alongside Nicklaus and Dimitrius.",False,jim,0.2545778453350067,0.9,True,jim,0.9,True
"If all roses are flowers, and some flowers are red, are all roses red?",Not necessarily,"While all roses are flowers and some flowers are red, it’s not required that all roses share the red property.",False,it’s not required that all roses share the red property,0.4186399579048157,0.7,False,it’s not required that all roses share the red property,0.7,False
"If a plane crashes on the border of two countries, where do they bury the survivors?",Survivors are not buried.,"The question is a trick; survivors are alive, so there’s no need to bury them, regardless of location.",False,location,0.22511543333530426,0.7,False,location,0.7,False
"What comes next in the sequence: 1, 3, 6, 10, 15, ...?",21,"This is a sequence of triangular numbers, where each term is the sum of consecutive integers: 1, 1+2, 1+2+3, etc.",False,"1, 1+2, 1+2+3",0.01120414026081562,0.7,False,"1, 1+2, 1+2+",0.7,False
"If no fish can fly, and tuna are fish, can tuna fly?",No,"Given that no fish can fly and tuna are fish, tuna cannot fly by logical deduction.",False,tuna cannot fly by logical deduction,0.37180179357528687,0.9,True,tuna cannot fly by logical deduction,0.9,True
What has keys but can’t open locks?,A piano,"This is a riddle; 'keys' refer to piano keys, not metal keys for locks.",False,piano,0.2513693571090698,0.9,True,piano keys,0.9,True
"If a bat and a ball cost $1.10 together, and the bat costs $1.00 more than the ball, how much does the ball cost?",$0.05,"Let the ball cost x; then the bat costs x + 1.00. So, x + (x + 1.00) = 1.10, solving to x = 0.05.",False,0.05,0.08503592759370804,0.9,True,x = 0.05,0.9,True
Is the statement 'This sentence is false' true or false?,It is a paradox.,"This is the liar paradox; if it’s true, it’s false as it claims, and if it’s false, it must be true, creating a contradiction.",False,false,0.13689658045768738,0.7,False,true,0.7,False
"If today is Wednesday, what day is it three days ago?",Sunday,"Counting back three days from Wednesday: Tuesday, Monday, Sunday.",False,tuesday,0.6305705308914185,0.7,False,"tuesday, monday, sunday",0.9,True
"What is heavier, a ton of feathers or a ton of bricks?",They weigh the same.,"Both are a ton, so their weight is equal, despite differing densities.",False,ton,0.010074075311422348,0.7,False,ton,0.7,False
"If all A's are B's, and some B's are C's, are some A's C's?",Not necessarily,The C's among the B's might not include any of the A's that are B's.,False,might not include any of the a's that are b's,0.08219669759273529,0.7,False,might not include any of the a's that are b's,0.7,False
"What is the next number in the sequence: 2, 4, 8, 16, ...?",32,"This is a geometric sequence where each term doubles: 2 * 2 = 4, 4 * 2 = 8, etc.",False,"2 * 2 = 4, 4 * 2 = 8",0.021916288882493973,0.7,False,"2 * 2 = 4, 4 * 2 = 8",0.7,False
"If it takes 5 minutes to boil one egg, how long does it take to boil 3 eggs?",5 minutes,"Assuming simultaneous boiling, the time remains 5 minutes for any number of eggs.",False,5 minutes,0.0013263862347230315,0.9,True,5 minutes,0.9,True
"If you have a cake and cut it into exactly 4 pieces, how many cuts do you make?",2,"Two straight cuts (e.g., one vertical, one horizontal) can divide a cake into 4 pieces.",False,two straight cuts,0.6583691835403442,0.9,True,two straight cuts,0.9,True
What is the opposite of 'never'?,Always,"'Never' means at no time, while 'always' means at all times.",False,at no time,0.20997026562690735,0.7,False,at no time,0.7,False
"If a implies b, and b is false, what can we say about a?",a is false,"If a implies b and b is false, a must be false to maintain the implication’s truth.",False,a must be false,0.48083412647247314,0.9,True,a must be false,0.9,True
"If you fold a paper in half 3 times, how many regions are created?",8,"Each fold doubles the number of regions: 1, 2, 4, 8.",False,"1, 2, 4, 8",0.49382027983665466,0.9,True,"1, 2, 4, 8",0.9,True
"What is the next letter in the series: B, D, F, H, ...?",J,"This series skips every other letter: B (2), D (4), F (6), H (8), J (10).",False,j,0.07304812967777252,0.9,True,j,0.9,True
"If a car travels 60 miles in 1 hour, how far does it travel in 30 minutes?",30 miles,"Speed is 60 mph; in half an hour (0.5 hours), it travels 60 * 0.5 = 30 miles.",False,0.5,0.04195491224527359,0.7,False,60 * 0.5,0.7,False
Why might someone laugh during a sad movie?,"Due to irony, relief, or an unexpected humorous moment.",Laughter can occur in sad contexts due to complex emotional triggers.,False,complex emotional triggers,0.8156781792640686,0.7,False,complex emotional triggers,0.7,False
"If all dogs bark, and Spot is a dog, does Spot bark?",Yes,"The universal statement 'all dogs bark' applies to Spot, a dog.",False,'all dogs bark,0.061226677149534225,0.7,False,'all dogs bark,0.7,False
What is the smell of rain like?,This is subjective and often described as fresh or earthy.,"Smell perception varies, but rain is commonly associated with certain qualities.",True,"perception varies, but rain is commonly associated with certain qualities",0.08752208948135376,1.0,True,"smell perception varies, but rain is commonly associated with certain qualities",1.0,True
"If you have 5 apples and give away 2, how many do you have left?",3,Starting with 5 and giving away 2 leaves 5 - 2 = 3 apples.,False,3,0.7087315917015076,0.9,True,3,0.9,True
"If a square’s side doubles, by what factor does its area increase?",4,"Area is side^2; if side becomes 2s, new area is (2s)^2 = 4s^2, a factor of 4.",False,4,0.09670091420412064,0.9,True,4,0.9,True
What runs but never walks?,Water,"This riddle plays on 'runs' as flowing, which water does, while it doesn’t walk.",False,water,0.5363114476203918,0.9,True,water,0.9,True
"If you have 3 socks—2 black, 1 white—what’s the chance of picking 2 black socks?",1/3,"Possible pairs are BB, BW, WB; only BB matches, so 1 out of 3.",False,1 out of 3,0.24343477189540863,0.7,False,1 out of 3,0.7,False
"If tomorrow is Friday, what day is it in 10 days?",Sunday,"From Friday, 7 days is Thursday, plus 3 more is Sunday (10 mod 7 = 3).",False,sunday,0.07323620468378067,0.9,True,sunday,0.9,True
Can a man marry his widow’s sister?,No,"If she’s his widow, he’s dead, so he cannot marry anyone.",False,he cannot marry anyone,0.23323094844818115,0.9,True,he cannot marry anyone,0.9,True
"What is the next number: 1, 1, 2, 3, 5, ...?",8,This is the Fibonacci sequence; each number is the sum of the two before it.,False,two,0.016244404017925262,0.7,False,two,0.7,False
"If a implies not b, and b is true, is a true?",No,"If a implies not b, and b is true (not b is false), a must be false.",False,a must be false,0.4132015109062195,0.7,False,a must be false,0.7,False
"If a clock shows 2:00, what’s the angle between the hands?",60 degrees,"Hour hand at 2 (60°), minute hand at 12 (0°); difference is 60°.",False,"60°),",0.6416983008384705,0.7,False,"60°),",0.7,False
What has a neck but no head?,A bottle,Riddle: a bottle has a 'neck' as a part but no literal head.,False,a bottle,0.5552327632904053,0.9,True,a bottle,0.9,True
"If you’re in a race and pass the person in second, what place are you in?",Second,"Passing the second-place runner puts you in their position, not first.",False,their position,0.40142926573753357,0.7,False,"their position, not first",0.7,False
"If all birds have wings, and some wings are blue, are all birds blue?",Not necessarily,"The blue wings might belong to only some birds, not all.",False,all,0.14483363926410675,0.7,False,"the blue wings might belong to only some birds, not all",0.7,False
What’s the day before the day after tomorrow?,Today,"Day after tomorrow is two days ahead; the day before that is one day ahead, leaving today.",False,one day ahead,0.05710969865322113,0.7,False,one day ahead,0.7,False
"If a train leaves at 9 AM going 50 mph, when does it reach 100 miles?",11 AM,Time = distance / speed = 100 / 50 = 2 hours; 9 AM + 2 hours = 11 AM.,False,11 am,0.3865346908569336,0.9,True,11 am,0.9,True
What can be broken but is never held?,A promise,"Riddle: a promise is intangible, can be broken, but isn’t physically held.",False,a promise,0.3287180960178375,0.9,True,a promise,0.9,True
"If some cats are black, and all black things are cool, are all cats cool?",Not necessarily,Only some cats are black and thus cool; others may not be.,False,cool,0.08719473332166672,0.7,False,only some cats are black and thus cool,0.7,False
"If you have 10 candies and eat 3, how many do you have?",7,Eating 3 reduces your possession from 10 to 7 candies.,False,7,0.7001268267631531,0.9,True,7,0.9,True
"What is the next term: 3, 6, 12, 24, ...?",48,"Each term doubles: 3 * 2 = 6, 6 * 2 = 12, etc.",False,doubles,0.00849403627216816,0.7,False,doubles,0.7,False
"If a room has 4 corners, and you remove one, how many are left?",This is ambiguous; likely 3 or 4 depending on interpretation.,"Physically, removing a corner might leave 3, but the room’s definition may still imply 4.",False,3,0.3560112416744232,0.9,True,3,0.9,True
"If you flip a coin twice, what’s the chance of at least one head?",3/4,"Outcomes are HH, HT, TH, TT; 3 out of 4 have at least one head.",False,3 out of 4,0.4221273362636566,0.7,False,3 out of 4,0.7,False
What has cities but no houses?,A map,Riddle: a map shows cities as points but doesn’t detail houses.,False,points,0.029157478362321854,0.7,False,riddle,0.7,False
"If all X are Y, and no Y are Z, are any X Z?",No,"If X are Y and no Y are Z, X cannot be Z by exclusion.",False,x cannot be z by exclusion,0.20144565403461456,0.9,True,x cannot be z by exclusion,0.9,True
"If a shadow moves, does the object move?",Not necessarily,"A shadow can move due to light changes, not just object movement.",False,light changes,0.025582032278180122,0.7,False,move,0.7,False
"What’s the next number: 5, 10, 15, 20, ...?",25,This arithmetic sequence increases by 5 each time.,False,5,0.011857797391712666,0.9,True,5,0.9,True
"If you’re running and overtake the last person, what’s your position?",This is impossible.,You can’t overtake the last person; there’s no one behind them.,False,there’s no one behind them,0.3920421898365021,0.7,False,there’s no one behind them,0.7,False
"If a implies b, and c implies not b, can a and c both be true?",No,"If a implies b and c implies not b, b and not b can’t both be true.",False,can’t both be true,0.0599123015999794,0.7,False,can’t both be true,0.7,False
"If a house has 4 walls, and you add a room with 4 walls, how many walls total?",7,"Adding a room shares one wall, so 4 + 4 - 1 = 7 walls.",False,7,0.6059765219688416,0.9,True,7,0.9,True
What speaks without a mouth?,An echo,Riddle: an echo repeats sound without a physical mouth.,False,an echo,0.3383064568042755,0.9,True,an echo,0.9,True
What are the three largest countries by population?,"India, China, United States","As of 2025, India has the largest population, followed by China and the United States.",False,china and the united states,0.6303373575210571,0.9,True,china and the united states,0.9,True
